Movie Name,Movie Score,Comments Number,Top 5 Comment
放牛班的春天,9.3,897153,"['这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆', '不知道为什么，没多大感触。', '男孩的声音真是好听……', '看开头第一眼我就知道我喜欢。从来没有教不好的学生只有不会教的老师。人与人之间的交流是用心的，在我看着你的眼睛的时候我知道你是真心为我着想的，所以我才愿意选择相信。就这样。看一部好电影的感觉像是给心灵洗了一个热水澡。从里到外都会感觉到清澈的感觉。', '每一个孩子都是天使！']"
星际穿越,9.3,1037871,"['我想给100颗星，这可能是我至今看过最令我震撼的电影了。到电影结束时候还不断流泪，奇迹不是因为有上帝 也不是有什么不可知的 某种力量，正是我们自己，人类不相信人类的力量把那些我们无可预知的奇迹都认为是上帝的功劳。若兰把我的世界观如此震撼人心的展现出来，我感觉我现在都激动得语无伦次了', '赶着首映翘课去看了imax版。诺兰一直在围绕人物内心讲故事，配上宇宙孤独梗，目瞪口呆或许是夸张，但泪流满面了几次绝对是事实。很多宇宙中的片段没有背景音乐，全场安静地如梦如幻。影片结束后随着观众鼓了掌，能和这样出色的人类活在同一个时代，的确是我的幸运。 期待影片明年多拿到几个提名', '2011年11月有《雨果》，2012年11月有《少年派的奇幻漂流》，2013年11月有《地心引力》，2014年11月有《星际穿越》，……前三部电影分别获得11、10、11项的奥斯卡提名，然后都拿下最佳摄影和最佳视觉效果奖，由此，我们可以预测《星际穿越》2015年的奥斯卡提名数和最佳摄影+视觉效果拿奖的可能性？……', '看完没人起立鼓掌，因为全跪着。', '一边太空冒险，一边是通俗的情感戏。无论外表多硬科幻：虫洞、黑洞、太空冒险、多维空间……最核心的仍是亲情与爱。科学与理论其实都是为感情服务的，用很硬的外壳包裹最柔软的情感。也因为此，它不会是2001那样严肃伟大的科幻片，但却有更饱满的感情。包括那些泪点']"
大话西游之大圣娶亲,9.2,1013416,"['无论是看第三十遍，还是第三十一遍，我都会对着那个寂寥的背影流泪。那落寞的大圣身上烙印着我青春时所有梦想，我们曾以为自己会成为盖世英雄，以为自己是这个世界的唯一，以为爱情专为自己存在，可是渐渐发现自己和别人没有什么不同，当你踏上社会时，总会有人看着你的背影说：看，他好像条狗啊！', '有人跟我比赛背台词么', '任何时候任何场合都可以再看一遍的电影', '一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局…… ', '紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。']"
熔炉,9.3,620945,"['想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。', '我们无法改变世界，但我们可以选择不被世界改变...', '大概只有套用《让子弹飞》里的一句经典台词才能略为表达我看完本片时的心情——震撼！震撼！！还是TMD震撼！！！我可以理解部分人站在纯粹艺术的角度对这部电影技法上的乏善可陈评头论足，但是我无法相信有人面对它由始至终散发出的那股震撼人心的力量时居然能做到完全无动于衷。', '不说别的，光电影那股正义的力量，就足以让人沸腾。', '令人绝望的不是电影，而是生活本身。']"
疯狂动物城,9.2,1200451,"['树懒太他妈好笑了！！那两分钟我嗓子都哑了！！卧槽！！真是太他妈好笑了！！', '港真，面对人家动画片里连一把椅子扶手上的铝合金划痕都做得活灵活现的态度，咱们就默默低头学就好，不要一天到晚吹“国产视效大片”这个概念了，略尴尬', '对比Frozen又是一次进步，但迪士尼家的反转还是太好猜，在最明显的线索被披露前真反派其实就已让人隐隐有种感觉。但抛去这点不看整部电影的主题和执行都堪称模范，还顺带早早地贡献出了今年最佳CP。""You know you love me.""(整个人在椅子上被苏晕', ""故事中规中矩，立意却是小孩看了笑大人看了深思的寓言故事。It's a story about minority, stereotype and acceptance. I'm glad disney plants the seed of equality to every child who sees this.兔子跟狐狸是最佳拍（情）档（侣）！警局前台豹子不是gay你找我！迪士尼彩蛋都棒棒的！"", '超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！']"
无间道,9.2,827160,"['牛就牛在，他让所有演员都达到了巅峰', '“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。', '最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。', '重新对香港电影刮目相看，它从哲学的角度深入探索人性，去感受身不由己之下的那种窒息，感受贪婪与自私，体验善恶的痛楚纠结。编剧确实是相当的出色，梁朝伟的陈松仁直接神化，所有的角色都可圈可点，没有一出多余的地方，以至多年后看美版的时候仍然不忘旧爱。这是港片的里程碑。9.2', '一气呵成。梁朝伟的眼神令人揪心。']"
龙猫,9.2,865421,"['如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦', '原来龙猫的戏份这么少啊。', '人人心中都有个龙猫，童年就永远不会消失，爱是最美的拥有～\n\n★★★★★', '下雨天龙猫撑着伞，突然有树梢积累的大颗水珠滴下来发出砰的声响，它很开心，很喜欢那个声音，就跳起来震得树上雨水纷纷落下。20181215 和妈妈一起进影院重看。30年过去，这个永恒的夏日童话依然纯真得令人泪下，提醒着无忧无虑的日子已经一去不返，如今的我，想必已经再也看不到龙猫和猫巴士了吧。', '因为缺少重看的观影经历，又被那套网络上的都市传说所影响（已辟谣），一直在疑心，年少时，是不是真有遗漏掉关键信息。得益于二十年后的重映，大银幕上重温，依然觉得是个单纯无比、被孩童想象所充盈和浇筑的成长故事。里面有美化过后，昭和年间的田园风貌回忆。樟树王、老房子、水稻田、乡间小路和巴士车。 小孩子能看见龙猫，自然是关于童心无邪。除了制造人类与大自然的连接，更多是因为，小孩子才能看见美好、已经失去的东西...']"
教父,9.3,634715,"['""Because a man who doesn\'t spend time with his family can never be a real man.""', '时隔八年有必要修正自己的观点，简陋之处依旧，而编剧与表演上的神来之笔多不胜数，回头重新品，亦可以发现《教父》带给观众的“大银幕”体验是足以驳斥掉持 反对论者的。一杀二场面中的短暂神色与打击数量，确实精确到无以复加。', '这男人。。。牛逼又孤独吧。。', '男性电影，没有打动我', 'N年前看过英文原著，只记得是个血腥暴力的故事，想不到电影可以如此沉稳和大气，有一种史诗气质。大银幕上看马龙·白兰度，感觉膝盖好疼...']"
当幸福来敲门,9.1,1033952,"['看到开头就知道结局，不过这并不重要，重要的是过程。。。最感人的不是赢得职位，而是在厕所里捂住儿子的耳朵。。。作为一名容易感情用事的中国观众，感动比励志对我来说更重要=。=', '我一直记得，有人对我说：当你迈过这个坎之后，你会发现，还会有什么不可以面对的困难。', '不太喜欢里面说的有钱了代表幸福了，它的穷困与之后富有，只能说是不用为了钱奔波而已', '有点失望...感觉是为了励志而励志......要不是导演和演员功力，就沦落成俗套励志片了......', '除了幸福 什么都能放弃 一定要幸福 和自己喜欢的人在一起 做自己喜欢的事']"
怦然心动,9.1,1190106,"['………………我能給十星嗎！', '萌死我算了，男主太帅了吧！', '可能比山楂树还纯哦！', '这算完美吗？小镇美景、帅正太、酷萝莉、家庭温情、成长点滴。。。双线结构，视角切换，细节丰富，过程明晰。。。爱就该是这样悠悠扬扬、婉婉转转、一阵冷、一阵热、一阵抽风、一阵颤抖的过程。。。睿智外公和脑残叔叔是惊喜。。。爱到最后拼的果然还是人格魅力啊。', '越看越觉得自己真是老了。。。。。']"
触不可及,9.2,675672,"['对残障人士最大的尊重，就是不要把他们当做残障人士。尊重比爱和同情心更高等级', '原声实在是棒！两个演员都很精彩 完全是笑声和泪水齐飞的电影！！！', '给领导做一万件好事不如陪他做一件坏事', '某个人在不经意间走进你的生活，他和你不同阶层，不完美，甚至有不少讨人厌的毛病，但是长期的相互信任和理解成就了一段真挚友情，也给两个人的生活都带来了阳光。把德瑞斯的原型改成黑人使对比更强烈情节更戏剧化，也让这段超越种族的友情更感人。影片里乘着滑翔伞在山谷中翱翔那幕太美了……', '但你们真的好容易被感动哦。']"
蝙蝠侠：黑暗骑士,9.2,696190,"['赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼', '对于这么优秀的电影来说，再多的赞美都是多余的。', '诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题', '绝对是杰作，大陆上不了院线在广电的耻辱柱上划了浓墨重彩的一笔～', '一直在搜索“为什么还有人想住在哥谭市”']"
控方证人,9.6,261235,"['男人贪心，女人贪爱', '当结尾旁白说“影院友情提示，为了保证您没有看过这部电影的朋友，有机会获得更大观影乐趣，请您不要像任何人透露这部电影的结局”时，真爽，这个电影真是骗足了同情心，飚足了演技，压足了节奏，然后唰唰大释放。一场英国男人和德国女人之间爱情与欺骗的故事，现在才看，对不起比利·怀尔德老人家。', '又是让我尖叫打滚的经典佳片！绅士又纯青的表演，奇妙而精巧的情节推进，幽默且风趣的细节，当然还有巧夺天工的结局！尽管后来的电影常常窥见模仿此处环节之处，但查尔斯劳顿、玛德琳黛德丽和比利怀尔德终究是无法复制的！', '律师三寸舌，妇人宫心计，两者皆不敌，最坏男人心，花心郎算尽太聪明，反算了戚戚性命', '演的不错，但是结局也没有说的那么玄乎吧？多读几本阿婆的书，这样的结局还不是手到擒来。 ']"
活着,9.2,537345,"['能活在现在这个时代其实还是很庆幸的了，虽然天朝依旧威武。', '一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。', '长太息以掩涕兮，哀民生之多艰', '国家走了一小段弯路，对于一代人就是蹉跎了一辈子。生活不易，还是得这么活着。笑中带泪，死人堆里暗暗许下活着的誓约，可谁也不曾想大环境下生活的艰辛。国师在第五代导演最好的时期奉献了极其有温度的作品。经年以后，鹤发的富贵摇着蒲扇回想那天不让有庆上学，少买几个馒头就好了，可生活不曾回头。', '中影史：影片透过一个人的一生遭遇，涵盖着人在历史中的命运无法掌控的生命之痛，衍生出了对死亡的苦笑。全片具有一定的史诗性，这种史诗性被包装在个人和家庭的命运之下，同时隐隐露出一股的悲悯情怀和伤感的黑色幽默。影片的个人生存状态和苦难，在经过精简的历史背景里，体现出小人物的悲欢离合。']"
乱世佳人,9.3,461441,"['也许每个女孩子心中都有一个艾希礼，只有经过时光才发现真爱原来是班瑞德。', '整整4、5个小时啊，看到我中途昏死了过去。郝思嘉最后的那句“tomorrow is another day”鼓励了多少脑残志坚的女性呀！（包括我在内）', '永远的经典，永不被打倒的勇气。', '我不说。什么都不说。', '斯佳丽很有个性的一个女人，瑞特巴特勒船长也让人难忘，费雯丽身上体现了那个时代女性独立自强的性格。\n\n瑞特巴特勒船长太有魅力，笑着说“那是你的事情，亲爱的”。对于斯嘉丽，巴特勒船长真的是尽力了，斯嘉丽醒悟得太晚了，“tomorrow is another day”是最真实的谎言。']"
末代皇帝,9.2,473001,"['溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。', '有史以来一部最地道最出色的中国电影，居然，Made By Italian～', '尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。', '贝托鲁奇镜头下的中国始终是存在于他想象中的红色国度。电影拍得过于西化了，但讨巧的用溥仪的命运承载了近半个世纪中国的变迁，进而阐释了人与命运对抗的古希腊悲剧主题。如果说人的一生是不断失去的过程，溥仪无疑是失去最多的，因为他曾经拥有整个中国...', '作为一个外国导演不可能拍得更好了，但我是一个中国人。']"
寻梦环游记,9.1,999974,"['死后世界还是这么三六九等，穷逼死了还是穷逼，那还不如被快点遗忘消失掉啊！', '不得不服皮克斯，一边和你探讨梦想、成功、家庭的意义；一边用各种充满想象力的情节、画面、音乐，让你叹为观止；这样的电影，怎能不爱。（家长指导：6岁以上推荐看，虽然有亡灵情节，但这可是一个关于爱的故事。）', '老人不图儿女为家做多大贡献呀，一辈子不容易就图个团团圆圆。皮克斯替蔡国庆唱了回春晚。', '不算皮克斯史上最佳，但在今年这个格外寒冷的冬天，它足够温暖。', '漫天好评太夸张了吧。。。Pixar的叙事与价值观内核真是愈发俗套保守了，这还真是个全世界都要回归家庭本位的年代咩。。。']"
摔跤吧！爸爸,9.0,1048103,"['阿米尔一人饰演男主角19、29、55岁三个人生段。他首先完成了19岁的戏，然后疯狂增肥，一个月时间变成了体重194斤的55胖大爷，拍完老年戏后，又用5个月的时间疯狂减肥，回去拍29的戏！所以：为什么要这么折腾自己？直接拍完29再拍55不就好了？阿米尔说：那样我就没有动力瘦回去了！', '根据真人真事改编，讲述印度一块女子摔跤金牌的诞生。剧情热血逗乐，竞技惊心动魄，挑不出什么毛病的宝莱坞电影，父女情尽在不言中。阿米尔·汗太敬业了，为了一闪而过的几秒就把自己的身材从肥胖练成魔鬼，好演员都是用生命在演戏啊～', '女权癌们归根结底还是她们看不起摔跤这项运动，要是把爸爸让女儿练习摔跤改成鼓励女儿去选美，当模特，变成大明星，估计就不会有那么多愤慨了。她们骨子里认为摔跤是男人的运动而已，所以说女权癌本质上是男权思维奴役下的产物。', '豆瓣文青们可能已经成功被白左的西方政治正确洗脑了：不放在具体语境下，以西方女权衡量一切本来就是一种偏见和武断。在整体状况还不如中国的印度，本片已经适当地展现了一种进步的女性生活方式，即便在父权的引导之下。让符号化的解读蒙蔽影片传达的真情实感，令人感到可悲。', '阿米尔汗就是印度电影的金字招牌，而且他每部电影都反映了印度方方面的问题，从《三傻》反映的教育，《我神》反映的信仰，到这部《摔跤》前一半反映了印度女权问题，后一半更像是父爱家庭人生的混合体，但这部电影的动作戏真是帅爆了，很精彩，没得说，8.5分应该不过分！！']"
少年派的奇幻漂流,9.1,985420,"['语言匮乏。就想搬个板凳坐电影院门口跟行人说：来嘛~', '【狐獴】，艺名丁满，出道时因自身面部表情傻不被业内看好，一直无名，早期作品有《狐獴大宅门》、《狐獴国度》。94年因参演《狮子王》名声大噪，后与疣猪彭彭发行单曲《哈库拉·马塔塔》，并出演电视剧《彭彭丁满历险记》，全球热播。近期，它又在《少年派的奇幻漂流》有着出色表演被更多观众熟知。', '深邃阔海，浩缈星空，绝境谕旨接踵而来，漩流深处响起弥撒之音。李安从来都不会纵情，他只是个温柔的人，腼腆着讲述内心的哲学。', '我从小热爱着海洋，觉得它美极了神秘极了，李安完全把我所能想象出的乘以十倍夸张梦幻勾勒出来，水母之夜鲸鱼出水，晚幕下晶莹剔透的绿色孤岛，电闪雷鸣的暴风雨等等，大海上的每一帧剪下来都是一副视觉佳作，3D效果异常出色，老虎出来的那一下我他妈真的在电影院吼了句“我操你妈 ！！！！” ', '基督在旷野修炼，魔鬼要求他展示奇迹将石头变成面包。但基督拒绝了，因为奇迹就是魔鬼的诱惑。故事出现第二个版本正是印证了这一点。它让电影主旨反转：不再是关于信仰的确立，而是它的缺失——信仰不能建立在奇迹之上，但假如你面对一个奇迹，却选择拒绝去相信，这就是没有信仰的悲哀了。']"
指环王3：王者无敌,9.2,509177,"['要是让peter jackson来拍西游记，会怎样？？', '每次看魔戒都会被奥兰度惊艳到~', '超级经典，看了无数遍', '看三个小时屁股都坐酸了', '彼得大帝告诉你：什么叫做史诗！\n本片荣获第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳视觉效果等11项大奖，和《泰坦尼克号》《宾虚》并列“获得奥斯卡最多的电影”。']"
飞屋环游记,9.0,911953,"['最后那些最无聊的事情，才是我最怀念的。', '去掉小孩，坏蛋，狗，鸟的话，这会是部完美的短片，but......;\r\n那段夫妻蒙太奇应该是我迄今最喜欢的pixar段落了;\r\n有一点不得不佩服pixar，拍的第一部3D就能完全摒弃滥斛噱头；而片头前那个“国内首部真人3D电影”的三分钟预告片，足以列入反面教材的经典了\r\n\r\n', '梦想，多久开始实现都不晚。《冰河世纪》也好，《史瑞克》也好，永远都赶不上皮克斯动画的情怀与意境。', 'PIXAR总是能带来最单纯的美好', '近乎无可挑剔..']"
十二怒汉,9.4,306804,"['其意义不在于“无罪”的结果，而在于整个辩论过程，那是关于人类和世界的哲学大命题，借助12陪审团之辩，对个人和集体，个人和社会，真相和怀疑，等级和尊严，意见和理解，理性和情绪，坚持和盲从，法律和良心，激情和冷静，大胆假设和小心求证等命题，进行交流和探讨，那是火花四溅的碰撞，直指人心。', '情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。\n\n看到有人截屏引用这个十一年前短评做庸俗群众代表我很荣幸。\n\n现在我要补充的话，会说，权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。因为不管群众是盲从机构推测，还是盲...', '傻了B了，竟然先看介绍，结果观影过程觉得影片本身十分做作。', '除开日出日落外，又一部以对话为主的电影。有张力，也有法律的基础常识、以及如何说服人和群体决策等要素。', '1.看罢暗惊，但细想之下，并非最爱的吕美特电影。2.把罪案摊在阳光下。3.我从小到大住在纽约，却从来没去过那里。4.并非称言其无罪，而是不确定是否有罪。5.最棒的钟表匠都在欧洲。6.不论去到哪里，偏见总是遮蔽了真相。']"
鬼子来了,9.2,422813,"['陆川快来学习一下牛叉电影是怎么回事吧，不卑不亢不装逼，爱姜文', '十部南京也抵不过一部鬼子来了。', '太他妈深刻了', '我有个朋友说他一共看了３０多遍……', '就让我一手一个，掐吧死俩！']"
